GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Less than $10,000","Households; Margin of Error; Less than $10,000","Families; Estimate; Less than $10,000","Families; Margin of Error; Less than $10,000","Married-couple families; Estimate; Less than $10,000","Married-couple families; Margin of Error; Less than $10,000","Nonfamily households; Estimate; Less than $10,000","Nonfamily households; Margin of Error; Less than $10,000","Households; Estimate; $10,000 to $14,999","Households; Margin of Error; $10,000 to $14,999","Families; Estimate; $10,000 to $14,999","Families; Margin of Error; $10,000 to $14,999","Married-couple families; Estimate; $10,000 to $14,999","Married-couple families; Margin of Error; $10,000 to $14,999","Nonfamily households; Estimate; $10,000 to $14,999","Nonfamily households; Margin of Error; $10,000 to $14,999","Households; Estimate; $15,000 to $24,999","Households; Margin of Error; $15,000 to $24,999","Families; Estimate; $15,000 to $24,999","Families; Margin of Error; $15,000 to $24,999","Married-couple families; Estimate; $15,000 to $24,999","Married-couple families; Margin of Error; $15,000 to $24,999","Nonfamily households; Estimate; $15,000 to $24,999","Nonfamily households; Margin of Error; $15,000 to $24,999","Households; Estimate; $25,000 to $34,999","Households; Margin of Error; $25,000 to $34,999","Families; Estimate; $25,000 to $34,999","Families; Margin of Error; $25,000 to $34,999","Married-couple families; Estimate; $25,000 to $34,999","Married-couple families; Margin of Error; $25,000 to $34,999","Nonfamily households; Estimate; $25,000 to $34,999","Nonfamily households; Margin of Error; $25,000 to $34,999","Households; Estimate; $35,000 to $49,999","Households; Margin of Error; $35,000 to $49,999","Families; Estimate; $35,000 to $49,999","Families; Margin of Error; $35,000 to $49,999","Married-couple families; Estimate; $35,000 to $49,999","Married-couple families; Margin of Error; $35,000 to $49,999","Nonfamily households; Estimate; $35,000 to $49,999","Nonfamily households; Margin of Error; $35,000 to $49,999","Households; Estimate; $50,000 to $74,999","Households; Margin of Error; $50,000 to $74,999","Families; Estimate; $50,000 to $74,999","Families; Margin of Error; $50,000 to $74,999","Married-couple families; Estimate; $50,000 to $74,999","Married-couple families; Margin of Error; $50,000 to $74,999","Nonfamily households; Estimate; $50,000 to $74,999","Nonfamily households; Margin of Error; $50,000 to $74,999","Households; Estimate; $75,000 to $99,999","Households; Margin of Error; $75,000 to $99,999","Families; Estimate; $75,000 to $99,999","Families; Margin of Error; $75,000 to $99,999","Married-couple families; Estimate; $75,000 to $99,999","Married-couple families; Margin of Error; $75,000 to $99,999","Nonfamily households; Estimate; $75,000 to $99,999","Nonfamily households; Margin of Error; $75,000 to $99,999","Households; Estimate; $100,000 to $149,999","Households; Margin of Error; $100,000 to $149,999","Families; Estimate; $100,000 to $149,999","Families; Margin of Error; $100,000 to $149,999","Married-couple families; Estimate; $100,000 to $149,999","Married-couple families; Margin of Error; $100,000 to $149,999","Nonfamily households; Estimate; $100,000 to $149,999","Nonfamily households; Margin of Error; $100,000 to $149,999","Households; Estimate; $150,000 to $199,999","Households; Margin of Error; $150,000 to $199,999","Families; Estimate; $150,000 to $199,999","Families; Margin of Error; $150,000 to $199,999","Married-couple families; Estimate; $150,000 to $199,999","Married-couple families; Margin of Error; $150,000 to $199,999","Nonfamily households; Estimate; $150,000 to $199,999","Nonfamily households; Margin of Error; $150,000 to $199,999","Households; Estimate; $200,000 or more","Households; Margin of Error; $200,000 or more","Families; Estimate; $200,000 or more","Families; Margin of Error; $200,000 or more","Married-couple families; Estimate; $200,000 or more","Married-couple families; Margin of Error; $200,000 or more","Nonfamily households; Estimate; $200,000 or more","Nonfamily households; Margin of Error; $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
1400000US53063000200,53063000200,"Census Tract 2, Spokane County, Washington",1955,88,1103,131,698,115,852,148,11.5,3.9,12.4,6.6,1.6,2.6,17.5,8.2,6.9,3.0,8.0,4.5,4.7,4.2,6.8,4.2,12.9,4.6,8.3,5.1,6.2,6.3,17.8,7.0,18.0,5.4,17.0,6.2,20.8,9.3,19.1,10.3,20.5,6.8,13.2,6.7,17.2,9.0,22.7,11.0,17.1,5.2,23.6,7.2,26.6,9.7,12.4,7.3,8.0,4.0,10.7,5.8,15.0,8.3,0.7,1.2,4.3,2.9,5.3,4.3,6.9,6.1,2.9,4.7,0.4,0.6,0.6,1.0,1.0,1.6,0.0,3.7,0.5,0.9,0.9,1.6,0.0,4.5,0.0,3.7,35625,5906,42550,10554,49850,13510,28208,4413,42589,4132,47139,6186,N,N,32987,6186,30.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),31.7,(X)
1400000US53063000300,53063000300,"Census Tract 3, Spokane County, Washington",1847,161,1318,169,701,165,529,141,5.7,4.0,7.2,5.5,2.0,3.2,4.9,5.0,5.4,2.9,1.9,2.2,1.7,2.9,11.2,7.7,23.1,7.7,18.6,7.9,18.3,12.0,39.3,16.9,24.5,8.4,29.1,10.1,32.2,13.8,15.3,12.3,17.3,5.9,16.9,6.3,18.0,9.1,20.4,12.7,16.5,5.4,16.5,6.4,24.0,11.1,6.8,6.4,4.8,3.7,5.8,5.2,2.3,3.0,2.1,3.3,2.8,3.1,3.9,4.3,1.6,2.7,0.0,6.0,0.0,1.7,0.0,2.4,0.0,4.5,0.0,6.0,0.0,1.7,0.0,2.4,0.0,4.5,0.0,6.0,29825,3513,31735,4783,34017,5981,23887,5192,37203,3476,39304,4811,N,N,28511,3884,29.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),26.7,(X)
1400000US53063000400,53063000400,"Census Tract 4, Spokane County, Washington",1674,120,996,127,618,130,678,124,6.6,3.7,7.3,6.7,6.8,9.2,8.6,5.5,9.9,4.6,6.9,5.9,7.3,8.3,14.9,8.1,20.6,7.3,12.9,7.6,1.3,2.4,28.3,10.6,20.0,5.9,23.5,8.2,19.4,10.8,23.2,9.5,20.3,6.9,23.0,9.8,26.9,14.0,14.2,6.9,17.0,5.3,20.9,7.6,29.4,11.0,5.0,4.5,5.0,2.9,4.9,4.0,7.9,6.8,5.0,4.4,0.7,0.9,0.6,1.0,1.0,1.6,0.9,1.8,0.0,1.9,0.0,3.2,0.0,5.1,0.0,4.7,0.0,1.9,0.0,3.2,0.0,5.1,0.0,4.7,32143,2543,34732,3086,42917,9587,23571,6689,35544,3160,37602,3572,N,N,28854,4704,18.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),20.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),15.5,(X)
1400000US53063000500,53063000500,"Census Tract 5, Spokane County, Washington",1388,108,735,122,492,103,653,126,6.8,4.3,3.7,3.5,0.0,6.4,10.3,8.9,5.0,2.6,6.1,5.4,2.2,3.9,7.5,5.2,11.5,5.8,12.8,6.2,12.4,7.5,13.0,9.6,13.6,5.7,9.0,7.4,1.6,2.6,18.7,8.6,15.5,4.8,16.3,6.0,16.3,7.5,16.8,8.0,31.3,7.3,35.5,10.2,42.7,12.2,24.0,9.1,12.8,5.2,10.1,7.7,15.0,10.7,9.6,7.6,2.9,2.6,5.4,4.8,8.1,7.2,0.0,4.9,0.0,2.3,0.0,4.3,0.0,6.4,0.0,4.9,0.6,0.9,1.1,1.7,1.6,2.6,0.0,4.9,46583,8171,51685,9601,57900,8498,35350,8626,48301,4843,51883,6707,N,N,39421,5709,20.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),12.3,(X)
1400000US53063000600,53063000600,"Census Tract 6, Spokane County, Washington",1204,78,699,93,454,98,505,112,3.2,3.9,0.9,1.4,0.0,6.9,7.7,9.1,0.7,1.0,0.0,4.5,0.0,6.9,1.6,2.5,11.9,5.8,10.3,6.3,3.3,3.9,16.8,11.3,12.0,5.5,5.9,3.4,6.8,4.7,17.8,11.1,17.3,6.3,23.3,8.6,18.5,9.0,19.2,12.5,28.2,8.0,31.9,10.6,37.7,12.7,21.0,12.6,17.0,6.3,15.0,7.2,21.4,10.2,10.3,10.7,8.6,5.4,10.7,6.8,9.3,5.7,5.5,8.2,0.4,0.7,0.7,1.1,1.1,1.8,0.0,6.2,0.7,1.2,1.3,2.1,2.0,3.1,0.0,6.2,52589,6714,55529,5938,61198,4847,39550,9308,58081,5613,63714,6229,N,N,44602,8623,25.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),22.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.5,(X)
1400000US53063000700,53063000700,"Census Tract 7, Spokane County, Washington",2038,124,1278,166,883,149,760,127,5.5,4.4,4.6,3.7,0.0,3.6,11.1,10.4,3.2,2.6,1.7,1.9,1.5,2.2,6.8,6.7,15.5,5.7,9.1,6.0,10.9,7.9,25.8,11.0,17.4,5.0,16.7,6.7,7.9,5.1,20.5,10.1,19.3,6.1,20.2,8.6,22.8,10.5,13.8,6.8,19.1,5.8,19.3,7.2,21.4,9.3,18.7,10.7,14.6,5.6,19.7,7.9,27.1,11.0,3.3,4.2,5.4,3.3,8.7,5.1,8.5,5.6,0.0,4.2,0.0,1.6,0.0,2.5,0.0,3.6,0.0,4.2,0.0,1.6,0.0,2.5,0.0,3.6,0.0,4.2,42809,3984,48771,8028,63221,14532,30938,9460,48077,4159,55397,5267,N,N,32349,5886,32.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),33.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.6,(X)
1400000US53063000800,53063000800,"Census Tract 8, Spokane County, Washington",1865,78,1276,115,1059,119,589,105,2.2,2.0,2.8,2.7,2.2,2.4,3.1,3.6,3.0,2.3,4.0,4.0,0.9,1.6,3.9,4.1,12.4,4.2,6.0,4.1,5.3,4.6,26.3,10.2,11.6,3.9,8.1,4.8,5.6,4.6,19.4,7.8,9.6,4.1,7.4,3.6,7.3,3.9,10.5,6.2,24.3,4.9,27.4,6.4,29.3,7.2,16.3,7.7,14.3,5.2,16.1,5.8,19.5,6.8,14.6,11.4,18.1,4.7,21.7,6.2,22.3,6.7,5.9,3.9,2.5,1.7,3.7,2.4,4.4,2.9,0.0,5.4,1.9,1.7,2.7,2.6,3.3,3.1,0.0,5.4,57860,5578,67742,8144,73036,11752,33239,10261,68770,5547,77590,8968,N,N,45748,8171,23.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),19.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),22.6,(X)
1400000US53063000900,53063000900,"Census Tract 9, Spokane County, Washington",2364,129,1704,175,1017,149,660,149,5.5,3.6,5.0,4.7,0.0,3.1,9.2,7.2,2.5,2.1,2.5,2.6,1.2,1.8,2.4,3.9,9.1,3.8,3.5,2.9,4.5,4.3,21.1,9.4,15.7,5.4,17.7,6.8,8.2,5.7,17.6,9.3,18.5,6.0,19.1,7.0,26.3,9.8,21.2,10.8,22.5,5.7,26.9,7.2,29.8,9.0,7.1,6.6,16.7,5.8,13.1,6.0,14.5,7.7,21.4,12.6,8.4,4.0,10.6,5.3,13.2,7.7,0.0,4.8,0.6,0.9,0.8,1.2,1.4,2.1,0.0,4.8,0.5,0.8,0.6,1.1,1.1,1.8,0.0,4.8,49031,6123,52000,7818,56213,7976,32143,10381,55486,6159,59588,8015,N,N,40036,7421,20.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),7.0,(X)
1400000US53063001000,53063001000,"Census Tract 10, Spokane County, Washington",2360,103,1496,184,1084,164,864,186,4.4,2.8,3.3,3.0,1.7,2.7,8.0,6.0,4.1,2.5,0.0,2.1,0.0,3.0,9.4,6.2,8.6,3.2,6.9,4.6,2.2,2.4,17.2,8.2,11.0,4.4,9.4,4.8,8.3,5.1,15.9,7.7,10.0,3.9,10.0,5.2,10.4,5.8,9.3,6.4,28.1,6.0,32.7,8.7,32.2,9.3,14.4,7.5,16.2,5.2,15.7,6.9,20.4,8.9,15.7,10.3,13.8,5.8,17.2,7.3,18.2,8.9,8.0,9.2,3.2,2.2,3.8,2.6,5.3,3.7,2.2,3.4,0.6,1.1,1.0,1.7,1.4,2.4,0.0,3.7,58900,5624,63333,4111,65703,12748,34286,19415,64103,4985,70690,6243,N,N,49186,9169,24.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),24.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.8,(X)
